No.,Name of the Organization,District of HQs/Physical Address,GEOGRAPHICAL AREA OF COVERAGE,KEY ACTIVITIES/OBJECTIVES,REG NUMBER,PERMIT NUMBER
2321,KALONGO WIDOWS & ORPHANS FOUNDATION,KYOTERA; KALONGO VILLAGE KALONGO-KALISIZO RURAL SC; P.O. BOX 54 KYOTERA,KYOTERA,"FORMAL EDUCATION AND VOCATIONAL SKILLS, RIGHTS ADVOCACY AND COMMUNITY EMPOWERMEN",INDR153604367NB,INDP0004367NB
2322,KAMPALA AREA FEDERATION OF COMMUNITIES,WAKISO; PLOT 12 KISOSONKOLE ROAD KIREKA NAMUGONGO DIVISION; P.O. BOX 10103 KAMPA,KAMPALA AND WAKISO,PROMOTING HEALTH SERVICES AND WELFARE OF CHILDREN AND YOUTH; CAPACITY BUILDING A,INDR84132001NB,INDP78792001NB
2323,KAMPALA CHRISTIAN ASSEMBLY,,,,INDR65653830NB,INDP60863830NB
2324,KAMPALA INTERNATIONAL UNIVERSITY FOUNDATION,KAMPALA; KANSANGA MAKINDYE DIVISION; P.O. BOX 2000 KAMPALA,KAMPALA AND BUSHENYI,"PROMOTE EDUCATION, RESEARCH AND TECHNOLOGY",INDR152104090NB,INDP0004090NB
2325,KAMPALA LIVING STREAMS CENTRE,KAMPALA; P.O. BOX 70763 KAMPALA,KAMPALA,"ENCOURAGING AND PROMOTING SPIRITUAL DEVELOPMENT; EVANGELISM, PROMOTING CHARITY W",INDR93381683NB,INDP88671683NB
2326,KAMPALA PARENTS OF CHILDREN WITH DISABILITIES ASSO,"KAMPALA, SALAAMA KOSOVO VILLAGE, MAKINDYE CITY DIV. P.O BOX 14151 KAMPALA",KAMPALA,PROVIDE SUPPORT THERAPY/ACCESSIBILITY AND ECONOMIC EMPOWERMENT TO PERSONS WITH D,INDR163965675NB,INDP0005675NB
2327,KAMPALA YOUTH RECOVERY FOUNDATION,,,,,
2328,KAMPANDANA ENVIRONMENTAL INITIATIVE UGANDA,"KAMPALA; NATIONAL INSURANCE COOPERATION BUILDING, 1ST FLOOR ANNEX PILKINGTON RD;",KAMPALA,"ENVIRONMENTAL PROTECTION, LIVELIHOODS, ECOSYSTEM RESTORATION",INDR162585573NB,INDP0005573NB
2329,KAMUGE MISSIONS INTERNATIONAL,"PALLISA DISTRICT, KAMUGE P.O.BOX 128 PALLISA",PALLISA,TO PROMOTE EVANGELISM.,INDR148883477NB,INDP0003477NB
2330,KAMUKAMA FOUNDATION,,,,FORR12957721NB,FORP12671721NB
2331,KAMULI NETWORK OF NON-GOVERNMENTAL ORGANISATIONS,"KAMULI; 600M ON KAMULI POST OFFICE-KANANAGE ROAD; KAMULI INDUSTRIAL AREA, KAMULI","KAMULI, LUUKA, BUYENDE AND KALIRO","CREATING A FORUM TO UNITE NGOS IN THE DISTRICT; PROMOTE, ENCOURAGE AND RESEARCH",INDR3099912NB,INDP2957912NB
2332,KAMULI THE VINE UGANDA,"KAMULI; WYNAD ROAD LUFULANDIZI VILLAGE, MUWEBWA PARISH NORTHERN DIVISION KAMULI",KAMULI,ACCESS TO QUALITY EDUCATION SERVICES AND PROTECTION OF CHILDREN RIGHTS,FORR151584169NB,FORP0004169NB
2333,KAMWENGE MARANATHA,KABAROLE; KARAMBI P.O. BOX 608 FORT PORTAL,KABAROLE,HEALTH SERVICES AND COMMUNITY DEVELOPMENT INITIATIVES,INDR90514448NB,INDP85734448NB
2334,KAMWOKYA CHRISTIAN CARING COMMUNITY,KAMPALA; PLOT 4195 OFF OLD KIIRA RD OPPOSITE HOLY TRINITY CHURCH KAMWOKYA; P.O.,KAMPALA,"PROVIDING HEALTH,EDUCATION AND VOCATIONAL TRAINING FOR HIV/AIDS PATIENTS.",INDR30294555NB,INDP28204555NB
2335,KANALI HUMANITARIAN AID FOUNDATION,KAMULI; BUBYALE ZONE BUTENDE PARISH KITAYUNJWA SC;,KAMULI,"HUMANITARIAN AID, LIFE SKILLS, HEALTH SENSITIZATIONS, IGAS",INDR161655461NB,INDP0005461NB
2336,KANDAAKIAT ORGANISATION FOR WOMEN EMPOWERMENT AND,KAMPALA; STRECHTER ROAD NTINDA,COUNTRYWIDE,EMPOWERING WOMEN TO BE SELF RELIANT; PROMOTE GENDER EQUALITY AND EQUITY; ADVOCAT,REGR138131225NB,REGP0001225NB
2337,KANUNGU DISABLED HOME AND REHAB CENTRE,"P.OBOX85,KANUNGU DISTRICT",KANUNGU,TO SET UP REHABILITATION CENTERS FOR THE DISABLED,,
2338,KANUNGU DISTRICT NGO/CBO FORUM,KANUNGU; RWEMISISI CELL TOWN BOARD KIHIHI TOWN COUNCIL; P.O BOX 101 KANUNGU,KANUNGU,"TO PROMOTE HUMAN RIGHTS, GOOD GOVERNANCE AND SOCIO-ECONOMIC DEVELOPMENT",INDR152734215NB,INDP0004215NB
2339,KANYIKE INITIATIVE FOR SUSTAINABLE DEVELOPMENT,,,,INDR3587645NB,INDP3409645NB
2340,KAPALAGA HEART FOUNDATION,"KAMPALA; MASENGERE BUILDING PLOT 1164 BULANGE WAY, GROUND FLOOR GS-7; P.O. BOX 2",WAKISO,PROVIDING MEDICAL TREATMENT TO PERSONS WITH HEART DISEASE; COUNSELLING AND GUIDA,INDR140331395NB,INDP0001395NB
2341,KAPCHORWA CIVIL SOCIETY ORGANISATIONS' ALLIANCE,"KAPCHORWA; CHESHARI RD, PLOT 28/29; P.O. BOX 190 KAPCHORWA",KAPCHORWA,STRENGEHENING COMMUNITY EMPOWERMENT AND ENGAGEMENT THROUGH INCREASING COMMUNITY,INDR66374634NB,INDP61354634NB
2342,KAPEI FOUNDATION UGANDA,"MOROTO MUNCIPALITY, NATUMKASKOV WARD,","NAPAK, KARAMOJA MOROTO, NAKAPIRIPIRIT,ABIM, KAABONG","TO SUPPORT EDUCATION OF DISADVANTAGED CHILDERN , CREATE PARTNERSHIPS, NETWORKING",FORR163515819NB,FORP0005819NB
2343,KAPOTEC FOUNDATION,"KAGADI DISTRICT, KAGADI CENTRAL WARD KAGADI NORTH KAGADI TOWN COUNCIL BUYAGA EAS",KAGADI,TO PROMOTE LIVELIHOOD DEVELOPMENT ACTIVITIES.,INDR149893691NB,INDP0003691NB
2344,KARAMBI ACTION FOR LIFE IMPROVEMENT,KASESE; PLOT 04 KILEMBE QUARTERS OFF MUGURUSI RD KOROKORO CLAUSE; BOX 539 KASESE,KASESE,"GOVERNANCE, PLANNING AND SERVICE DELIVERY",INDR56204907NB,INDP52434907NB
2345,KARAMBI GROUP OF PEOPLE WITH DISABILITIES,"KASESE; KABUYIRI CELL, KABUYIRI WARD-MPONDWE; LHUBIRIHA TOWN COUNCIL",KASESE,"TRAINING DISABLED YOUTHS, WOMEN IN DEVELOPMENT AND ENVIRONMENTAL PROTECTION",INDR70894201NB,INDP66364201NB
2346,KARAMOJA ANTI CORRUPTION COALITION,"MOROTO, NABILATUR TOWN COUNCIL, P.O.BOX 370011,MOROTO","NABILATUK,NAPAK,MOROTO, NAKAPIRIPIRIT","TO COLLECTIVELY END CORRUPTION, ADVOCATE FOR TRANSPARENCY AND ACCOUNTABILITY , E",INDR164265776NB,INDP0005776NB
2347,KARAMOJA CHRISTIAN ETHNO VETENARY PROGRAM PROGRAM,NABILATUK DISTRICT,"MOROTO AND NAKAPIRIPIT,NABILATUK",TO SPREAD THE GOSPEL OF JESUS CHRIST,INDR50442599NB,INDP47152599NB
2348,KARAMOJA DEVELOPMENT FORUM,MOROTO; PLOT2/3 ACHIA ROAD MOROTO MUNICIPALITY; P.O. BOX,COUNTRYWIDE,INFORMATION DISSEMINATION; COMMUNICATION AND DOCUMENTATION,INDR108241974NB,INDP106021974NB
2349,KARAMOJA INDIGENOUS AND MODERN HEALTH COLLABORATIO,MOROTO; P.O. BOX 26 MOROTO,NAKAPIRIPIRIT; NAPAK AND MOROTO,IMPROVING THE HEALTH OF THE FAMILIES ; STRENGTHEN THE ABILITY OF THE CIVIL SOCIE,INDR76471026NB,INDP71981026NB
2350,KARAMOJA INTERGRATED DEVELOPMENT SERVICES,"P.O. BOX 44, MOROTO, UGANDA",MOROTO,TO EMPOWER THE PARTNER COMMUNITIES,INDR74952931NB,INDP70412931NB
2351,KARAMOJA PEACE AND DEVELOPMENT AGENCY,"KAABONG; KOTIDO ROAD BIAFRA CENTRAL, KAABONG TOWN COUNCIL; P.O. BOX 49 KOTIDO",KAABONG AND KOTIDO,HARMONIZING KARAMOJONGS WITH THEIR NEIGHBOURING PASTORALISTS COMMUNITIES AND SET,INDR111831446NB,INDP106351446NB
2352,KARAMOJA SPECIAL CHILDREN HOPE INITIATIVE,"NAPAK;KANGOLE TOWN COUNCIL,PO BOX 370002 MOROTO",NAPAK,"TO PROVIDE THERAPY AND REHABILITATION,PROMOTE SOCIAL EQUITY",INDR158325000NB,INDP0005000NB
2353,KARAMOJA WOMEN CULTURAL GROUP,"NATUMUKASIKOU CELL BOMA,NORTH DIVISION MOROTO MUNICIPALITY MOROTO P.O.BOX, 102,M",MOROTO,"TO PROMOTE, ENCOURAGE AND LAY STRATEGIS FOR SUSTAINABILITY OF WOMEN, CREATE AWAR",,
2354,KARAMOJA WOMEN UMBRELLA ORGANISATION,MOROTO; PLOT 41 HOUSE 228 CIRCULAR ROAD; P.O. BOX 102 MOROTO,COUNTRYWIDE,TO PROMOTE LOCAL WOMEN'S PARTICIPATION IN GOVERNANCE AND LEADERSHIP; ELIMINATION,INDR137201046NB,INDP0001046NB
2355,KARIM MASABA FOUNDATION,"MBALE; BUGWERI CELL, MASABA WARD - INDUSTRIAL DIVISION; P.O. BOX 2562 MBALE",MBALE,FOSTERING EDUCATION AND ESTABLISHMENT OF EDUCATIONAL INSTITUTIONS; COMMUNITY DEV,INDR139341201NB,INDP0001201NB
2356,KARIMOJONG WOMEN ADVOCACY FOR TRANSFORMATION,MOROTO; MOROTO MUNICIPALITY; P.O. BOX 46 MOROTO,MOROTO,"TO PROMOTE LOVE, PEACE AND UNITY AMONG THE TARGET COMMUNITY AND THEIR NEIGHBORS",INDR152714217NB,INDP0004217NB
2357,KARIN COMMUNITY INITIATIVES UGANDA (FORMERLY CHILD,"PATIKO ROAD , P.O.BOX 528 GULU",GULU,PROVIDE HEALTH SERVICES,INDR4476433NB,INDP5118433NB
2358,KARITAS KARISIMBI FOUNDATION,WAKISO; NAJEERA A-BULABIRA; P.O.BOX 800215 NTINDA,WAKISO,"TO ESTABLISH AND MANAGE PROJECTS FOR CHILDREN SUCH AS BOY CHID,ORPHANS,AND DISAD",REGR162145512NB,REGP0005512NB
2359,KARON RELIEF AND DEVELOPMENT FOUNDATION,"WAKISO; KIRINYA-BUKASA ROAD OPPOSITE BUKASA HARDWARE, KIRA MUNICIPALITY; P.O. BO",WAKISO,EDUCATION PROMOTION TO THE NEEDY POOR AND CHAMPIONING GENDER MAINSTREAMING; CREA,INDR142681727NB,INDP0001727NB
2360,KASAANA CHILD DEVELOPMENT CENTRE,MUBENDE; KISEKENDE SOUTH DIVISION MUBENDE MUNICIPAL COUNCIL,MUBENDE,PRMOTING SEXUASL REPRODUCTIVE HEALTH AD EDUCATION SUPPORT,INDR112464353NB,INDP107124353NB
2361,KASABULI HOLLY INITIATIVES,KAMPALA; BUKOTO VILLAGE BUKOTO II NAKAWA DIV. BOX 71092 KAMPALA,KAMPALA,IMPROVE SOCIO-ECONOMIC WELFARE THROUGH IGAS,INDR157615025NB,INDP0005025NB
2362,KASANGATI ORPHANS FUND SOCIETY,"WAKISO; KAWANDA CENTRAL ZONE LC I; BOX 1949, KAMPALA",COUNTRYWIDE,PROMOTING EDUCATION AND TECHNICAL ASSISTANCE TO THE ORPHANS; SHELTER TO OVCS,INDR14092340NB,INDP1272340NB
2363,KASESE COMMUNITY HEALTH AND EDUCATION FOUNDATION,KASESE; PLOT 1-5 STANELY STREET P.O. BOX 411 KASESE,COUNTRYWIDE,EDUCATION TO THE OVCS; HIV/AIDS COUNSELLING AND TESTING; NUTRITION AND INCOME GE,INDR42531107NB,INDP38781107NB
2364,KASESE DISTRICT ASSOCIATION OF PERSONS WITH DISABI,"KASESE; KISANGA A, NYAMWAMBA DIVISION KASESE MUNICIPALITY; P.O. BOX 114 KASESE",KASESE,"TO MOBILISE PWDS INTO GROUPS FOR SOCIAL ECONOMIC ACTION REGARDLESS OF TRIBE,SEX,",INDR152864236NB,INDP0004236NB
2365,KASESE DISTRICT WOMEN WITH DISABILITIES (KADIWOD),,KASESE,"CREATING AWARENESS AND ESTABLISHING THE SOCIAL STANDARDS, AND ESTABLISHING SELF-",INDR6863253NB,INDP6400253NB
2366,KASESE GIVE A GOAT-AFRICA,KASESE; RWESORORO KAGANDO PARISH; KISINGA SUBCOUNTY; P.O. BOX 101 KASESE,COUNTRYWIDE,"IMPROVING NUTRITION, ESTABLISHING AND PROVIDING COUNSELLING GUIDANCE SERVICES ON",INDR70462612NB,INDP35732612NB
2367,KASESE RWENZORI UNITED DEVELOPERS ORGANISATION,KASESE DISTREICT KINYAMASEKA,KASESE,TO CONSTRUCT HOUSES FOR THE POOR,INDR149043503NB,INDP0003503NB
2368,KASIBO DEVELOPMENT FOUNDATION,"KAMPALA; LUBYA PARISH RUBAGA DIVISION; P.O. BOX 28667, KAMPALA",KAMPALA,"TO BUILD AND OPERATE VOCATIONAL TRAINING FACILITIES, ENTREPRENUERSHIP DEVELOPMEN",INDR151914103NB,INDP0004103NB
2369,KASIGA GOLDEN HEART FOUNDATION,,,,,
2370,KASUBI-NAKULABYE SKILLS ASSOCIATION,"KAMPALA, KASUBI- NAKULABYE (NABULAGALA). P.O BOX 233, KAMPALA UGANDA",KAMPALA,"TO PROVIDE EDUCATIONAL PROGRAMMES AND TRAININGS TO THE YOUTH, PROVIDE TRAINING I",INDR163265652NB,INDP0005652NB
2371,KASWABULI BUBAGO INTEGRATED DEVELOPMENT ASSOCIATIO,,,,INDR3182463NB,INDP2948463NB
2372,KATAIKE/MARIA,,,,,
2373,KATAKWI CONSERVE UGANDA,,,"CONSERVING BIO DIVERSITY NATURAL RESOURCES, ADVOCATING FOR PROTECTION OF HUMAN R",INDR10720462NB,INDP10316462NB
2374,KATAKWI RAY OF HOPE,"KAMPALA DISTRICT, P.O. BOX 69, PLOT 38- USUK- TOROMA ROAD, OPPOSITE ELECTORAL C",COUNTRYWIDE,TO IMPROVE SOCIO- ECONOMIC WELFARE OF PEOPLE IN KATAKWI,INDPR143562258NB,INDP0002258NB
2375,KATALEMWA CHESHIRE HOME FOR REHABILITATION SERVICE,,COUNTRYWIDE,,INDR5652682NB,INDP3862682NB
2376,KATIKA CHILD AFRICA,KAMPALA; PLOT 3 MACKAY RD LUNGUJJA; P.O. BOX 24296 KAMPALA,KAMPALA,TO PROMOTE CHILDHOOD DEVELOPMENT INCLUDING OPTIMAL EARLY LEARNING AND CARE,INDR146142544NB,INDP0002544NB
2377,KATONDA MULUNGI PROJECT,"SAFARI HOUSE, KASASA TOWN COUNCIL, KYOTERA- MUTUKULA ROAD",KYOTERA,TO RESPOND TO BASIC HUMAN NEEDS OF FAMILIES,INDR100293217NB,INDP95423217NB
2378,KATOSI INTER-COMMUNITY DEVELOPMENT ALLIANCE,MUKONO; BUKASA-KYETUME MUKONO-KATOSI ROAD AFTER DAKS COURIER; P.O. BOX 157 MUKON,COUNTRYWIDE,FORMAL EDUCATION AND VOCATIONAL TRAINING; ADVOCACY FOR WOMEN AND CHILD RIGHTS; S,INDR144011988NB,INDP0001988NB
2379,KATOSI WOMEN DEVELOPMENT TRUST,"MUKONO, KATUTU KATOSI RD; P.O. BOX 33929 KAMPALA",MUKONO,"EMPOWERING WOMEN, HYGIENE AND SANITATION AND ENVIRONMENTAL CONSERVATION",INDR69114451NB,INDP63854451NB
2380,KATUMBA HAND OF GOD MINISTRIES,WAKISO; WATTUBA WARD KASANGATI T/COUNCIL; BOX 26548 KAMPALA,KAMPALA,TO SPREAD THE GOSPEL THE CHRIST AND ESTABLISHING PROJECTS FOR VULNERABLE GROUPS,INDR150233671,INDP0003671NB
2381,KATWE YOUTH AND DEVELOPMENT ASSOCIATION,"KAMPALA; KATWE BASE ZONE, KATWE 11 PARISH MAKINDYE DIVISION",KAMPALA,ASSIST THE NEEDY YOUTH AND CHILDREN ACHIEVE BASIC EDUCATION,INDR16754670NB,INDP15484670NB
2382,KAWEMPE HOME CARE,,,,INDR148283931NB,INDP0003931NB
2383,KAWUULU FOUNDATION,"PLOT 18 BUKOTO STREET, KAMWIKYA KAMPALA",BUIKWE,TO PROMOTE THE PRACTICE AND PLAY OF FOOTBALL,INDR147123119NB,INDP0003119NB
2384,KAYDEN INTERNATIONAL FOUNDATION,KAMPALA; SIR-APOLLO KAGWA ROAD MAKERERE WEST-KAMPALA; P.O.BOX 37786 KAMPALA,KAMPALA AND MITYANA,"TO EMPOWER VULNERABLE PEOPLE OF UGANDA,TO RAISE AWARENESS ABOUT STILL BIRTH NONN",INDR152314145NB,INDP0004145NB
2385,KAYOGORO PENTECOSTAL MISSION,LUWERO; KIWOGOZI VILL. KIWOGOZI PARISH KATIKAMU SC; BOX 12366 KAMPALA,LUWEERO,"PREACH THE GOSPEL, PSYCHOSOCIAL SUPPORT",REGR13731759NB,REGP000759NB
2386,KAYOGORO PENTECOSTAL MISSION,LUWERO,LUWERO,TO PROPAGTE THE PRACTICAL CHRISTIAN FAITH IN OBEDIENCE TO GREAT COMMISSION OF JE,REGR13731759NB,REGP000759NB
2387,KAYO-LINE FOUNDATION,WAKISO; NAJEERA PLOT 421; P.O. BOX 35810 KAMPALA,COUNTRYWIDE,STRENGTHENING MATERNAL HEALTH CARE SYSTEMS; ADVOCACY GROUPS ON MATERNAL HEALTH A,INDR143971877NB,INDP0001877NB
2388,KAYUNGA COMMUNIITY CLUB,"KAYUNGA;LATE NSIMBI BUILDING,SSEKAJJA RD,",KAYUNGA,TO PROVIDE A HOSTILIC TRANSFORMATION OF PEOPLE AND DISADVANTAGED COMMUNITIES,INDR161105367NB,INDP0005367NB
2389,KAYUNGA COMMUNITY DEVELOPMENT ASSOCIATION,"KAYUNGA; NAKALILO VILLAGE, NTENJERU, KAYUNGA TOWN COUNCIL; P.O. BOX 18113 KAYUNG",KAYUNGA,"PROMOTING A HEALTHY AND PRODUCTIVE COMMUNITY THROUGH ADVOCACY, MODERNIZED FARMIN",INDR61391461NB,INDP74301461NB
2390,KAZIRA ORPHANED CHILDREN AND COMMUNITY DEVELOPMENT,,KABALE,"PROVIDING FINANCIAL ASSISTANCE TO THE NEEDY STUDENTS, SETTING UP HOSPITALS AND C",INDR13464385NB,INDP000385NB
2391,KAZO COMMUNITY EMPOWERMENT,"KIRUHURA DISTRICT,LYANTONDE ROAD,KAZO TOWN COUNCIL",KIRUHURA,"TO IMPROVE HEALTH,ECONOMIC EMPOWERMENT,YOUTH EMPOWERMENT TRAINING THE YOUTH",INDR144882149NB,INDP0002149NB
2392,KCB FOUNDATION,"KAMPALA, PLOT 7 KAMPALA ROAD. COMMERCIAL PLAZA.",COUNTRYWIDE,ADVANCE HUMAN RIGHTS,REGR163905631NB,REGP0005631NB
2393,KEEP ALIVE MISSIONARY MINISTRIES,,KUMI,PREACHING THE GOSPEL AND PROVIDING HEALTH SERVICES,INDR1042857NB,INDP999657NB
2394,KEEP HOPE INTERNATIONAL,"MUKONO; BUGOBA LC I, SEETA WARD, GOMA DIVISION; P.O. BOX",MUKONO,NATIONAL AND INTERNATIONAL MEDICAL SUPPORT AND EDUCATIONAL ADVANCEMENT; PSCYCHOS,FORR141481460NB,FORP0001460NB
2395,KEIGA FOUNDATION,,,,INTR150643747NB,INTP0003747NB
2396,KEILAH COMMUNITY CHILDCARE UGANDA,MUKONO; NABUTI P.O. BOX 367 MUKONO,MUKONO,"EDUCATIONAL SUPPORT, SKILLS DEVELOPMENT AD EVANGELISM",INDR157294885NB,INDP0004885NB
2397,KEKESND INTERNATIONAL,KAMPALA; KILUDU HOSPITAL SALAAMA ROAD MAKINDYE DIVISION; P.O. BOX 10184 KAMPALA,KAMPALA,PROVIDE MEDICAL CARE AND SUPPORT TO THE VULNERABLE OVCS; EDUCATION SUPORT; HUMAN,FORR136932615NB,FORP0002615NB
2398,KELELE AFRICA UGANDA,,,,INDR104123815NB,INDP99513815NB
2399,KELIM FOUNDATION,KAMPALA; KYADONDO PLOT 2 NAKASERO; P.O. BOX 21706 KAMPALA,KAMPALA,"SUPPORTING EDUCATION, PROFESSIONAL MENTORSHIP AND DEVELOPMENT",INDR90504566NB,INDP85724566NB
2400,KEMEROVO CHRISTIAN MISSIONS UGANDA,KAMPALA; MUTUNGO ZONE 5 NAKAWA DIVISION,KAMPALA,"SUPPORTING FORMAL AND VOCATIONAL EDUCATION,PROMOTE PUBLIC HEALTH WITH REGARD TO",FORR155974659NB,FORP0004659NB
2401,KENGELE YA TOTO,"KAMPALA; PLOT 5 AGIP HOUSE NTINDA, P.O. BOX 482, KAMPALA",COUNTRY WIDE,TO ADVOCATE AGAINST ALL FORMS OF CHILDABUSE AND ENCOURAGE COMMUNITY EMPOWERMENT,INDR152164106NB,INDP0004106NB
2402,KENYANGE CHILDREN'S FOUNDATION,,,,INDR13451408NB,INDP000408NB
2403,KENZIE IMMACULATE FOUNDATION,"WAKISO; MBALWA B ZONE, KIRA MUNICIPALITY; P.O. BOX 37271, WAKISO",COUNTRY WIDE,IMPROV THE LIVES OF CHILDERN AND WOMEN ESPECIALLY WIDOWS,INDR152084136NB,INDP0004136NB
2404,KERU WOMEN'S ACTION FORUM,GULU; PLOT 8 AUGUSTINO OBOL RD ARIAGA EAST LAROO DIVISION; P.O. BOX 1267 GULU,GULU,"BUILDING A BRIGHTER LIFE AND BETTER FUTURE TO WOMEN,GIRLS AND CHILDREN.",INDR154584545NB,INDP0004545NB
2405,KEUN-NAMU FOUNDATION,"JINJA; WALUKUBA EAST ESTATE, KYANGWA CLOSE, MASESE; P.O. BOX 900248 JINJA",JINJA,"ASSIST THE ACCOPMPLISHMENT OF PRE PRIMARY, SECONDRARY AND UPPER EDUCATION IN UGA",FORR162075436NB,FORP0005436NB
2406,KEVEN INSTITUTION (OF ST. FRANCIS) FOR THE NEEDY'S,,,,,
2407,KEYNES DISABILITY ASSOCIATION,KAMPALA; GAYAZA RD KYAMBOGO MASOOLI; P.O. BOX 15048 KAMPALA,KAMPALA,"TO PROMOTE THE RIGHTS OF PEOPLE WITH DISABILITIES, WELFARE OF CELEBRAL PALSY, AU",INDR160675294NB,INDP0005294NB
2408,KFUK- KFUM GLOBAL,KIRYANDONGO REFUGEE SETTLEMENT,KIRYANDONGO,TO PROMOTE JUSTICE AND PEACE,INTR147483449NB,INTP0003449NB
2409,KIBAALE COMMUNITY CENTRE,"LWENGO DISTRICT,P.O.BOX 1658MASAKA",COUNTRYWIDE,"TO EDUCATE COMMUNITY CENTRES,HEALTH DEVELOPMENT AND SPIRITUAL NEEDS OF VULNERABL",FORR55662137NB,FORP105032137NB
2410,KIBAALE PEOPLE'S RURAL DEVELOPMENT INITIATIVE,KIBAALE; MUGARAMA LC I AND SUBCOUNTY; P.O. BOX 78 KARUGUZA,KIBAALE,"EDUCATIONAL SUPPORT AND MEDICAL CARE, PSYCHOSOCIAL SUPPORT",INDR157504868NB,INDP0004868NB
2411,KIBALE WELFARE AND EDUCATION FOUNDATION,"KAMWENGE; PLOT 166, BLOCK 75 RWEMIRAMA WARD KMWG-MB'RA RD",KAMWENGE,"TO FIGHT AGAINST GENDER BASED VIOLENCE IN COMMUNITIES, ADVOCATE FOR PLWA",INDR160705326NB,INDP0005326NB
2412,KIBO FOUNDATION,KAMPALA; LUJUMWA HOUSE PLOT 796 NKUZONGERE ROAD KANSANGA;,COUNTRYWIDE,SUPPORTING DEVELOPMENT OF SMALL SCALE INITIATIVES; PARTNERSHIP TO BUILD LOW COST,FORR71861262NB,FORP67951262NB
2413,KIBO GROUP,JINJA; PLOT 20 MAIN STREET; P.O BOX 243 JINJA,LUUKA AND NAMUTUMBA,"ENVIRONMENT, EDUCATION AND ECONOMIC SUSTAINABILITY",FORR84744198NB,FORP84864198NB
2414,KIBUKWA FAITH MINISTRIES INTERNATIONAL,MANAFWA; KIBUKWA VILLAGE FULUMA PARISH BUTTA SC; P.O. BOX 643 MBALE,KAMPALA,IMPROVING KNOWLEDGE OF BENEFICIARIES BOTH IN PHYSICAL AND SPIRITUAL DILEMMA,INDR154354524NB,INDP0004524NB
2415,KICA TRANSFORMS MINISTRY,KAMPALA; PLOT 247 SEMPAGALA ZONE-NTINDA KISASI ROAD; P.O. BOX 40245 KAMPALA,COUNTRYWIDE,HOLISTIC CHILD DEVELOPMENT THROUGH OUTREACHES ; LEADERSHIP DEVELOPMENT BY INCREA,INDR140161282NB,INDP0001282NB
2416,KICHWAMBA ORPHANAGE FOUNDATION,"RUBIRIZI; MIRAMBI VILLAGE, KICHWAMBA PARISH, KICHWABA SUBCOUNTY",RUBIRIZI,"FIGHTING AGAINST CHILD TRAFFICKING, SLAVERY AND TRADITIONAL RITUALS SUCH AS CHIL",INDR154564558NB,INDP0004558NB
2417,KICK CORRUPTION OUT OF UGANDA KIGEZI (KICK-U) FORM,KABALE; KIGONGI WARD-CENTRAL DIVISION P.O.BOX 445 PLOT 110 MBARARA RD,KABALE,TO PROMOTE CITIZEN PARTICIPATION TO FIGHT AGAINST CORRUPTION,INDR113214652NB,INDP107754652NB
2418,KIDS AT RISK - UGANDA,"LIRA; OBER KAMPALA, LIRA MUNICIPALITY",LIRA,"TO IMPROVE THE WELFARE OF VULNERABLE CHILDREN AND ORPHANS THROUGH HEALTH, EDUCAT",INDR139191181NB,INDPP0001181NB
2419,KIDS CLUB KAMPALA,"KAMPALA DISTRICT, P.O. BOX 36425, KAMPALA, PLOT 1886, KANYANYA ROAD, BLOCK 207","KAMPALA, MPIGI, WAKISO",TO ARRANGE AND HELP CHILDREN WITH THEIR SPONSORSHIP SCHOLASTIC MATERIALS,INDR84962497,INDR84962497NB
2420,KIDS FIRST UGANDA,,,,INDR12120154NB,INDP000154NB
2421,KIDS FOR AFRICA SPORTS ACADEMY,,,,INDR13618448NB,INDP000448NB
2422,KIDS FOUNDATION UGANDA,MANAFWA; RED CROSS BUILDING BUBULO MANAFWA; P O BOX 802 MBALE,COUNTRYWIDE,"PROMOTING COMMUNITY INITIATIVE PROGRAMS, SUPPORTING DISADVANTAGED PEOPLE, INCREA",INDR1251581NB,INDP1230881NB
2423,KIDS HAVE RIGHTS 2,KAMPALA; NAGRUR-NTINDA RD; P.O. BOX 36126 KAMPALA,KAMPALA,PROMOTE THE WELFARE OF CHILDREN,INTR154594469NB,INTP0004469NB
2424,KIDS IN DESPERATE SITUATIONS UGANDA,KOBOKO; PLOT 3 BLOCK 5 KOBOKO-ARUA HIGHWAY; P.O. BOX 40 KOBOKO,"KOBOKO, IGANGA, KALIRO, LUUKA AND BUKEDEA",AIDING CHILDREN'S DEVELOPMENT THROUGH EDUCATION AND HEALTH SERVICES; VOCATIONAL,FORR109411321NB,FORP108781321NB
2425,KIDS OF AFRICA-SWISS AFRICAN CHILDREN'S VILLAGE,"PLOT 57, BWERERE KISUBI- ENTEBBE ROAD",WAKISO,TO CONSTRUCT CHIDREN'S NAMES,INDR52992927NB,S
2426,KIDS READ UGANDA,"KAMPALA; KIYEMBE VILLAGE URBAN COUNCIL, KIBUYE II PARISH MAKINDYE DIV.; P.O BOX",KAMPALA,"TO ADVANCE TH SPREAD AND DEVELOPMENT OF CHRISTIAN FAITH, BUILD LIBRARIES, PROMOT",INDR159395127NB,INDP0005127NB
